"onset" "duration" "sample" "trial_type" "eventIdentifier" "stim_file" "event_nr" "aoi" "trial" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
95.611 4.7 605219 "Exp.Trial" "ID_119_7" "Die Mutter sagte, Nina übe gerade Klavier. " 11 "[[142.5,219.5,384,384],[219.5,296.5,384,384],[296.5,351.5,384,384],[351.5,395.5,384,384],[395.5,472.5,384,384],[472.5,566,384,384]]" 11 "v4" 7 "[2,3,4,5,6,7]" "[\"Mutter\",\"sagte\",\"Nina\",\"übe\",\"gerade\",\"Klavier\"]" "[6,6,4,3,6,8]" "[4.1585,4.1861,2.6767,2.0755,4.215,2.4548]" "[0.0235,0.0118,0,0,0.0118,0.0941]" "[130.3582,119.3778,138.3137,144.8863,140.117,111.8775]" "[0.2784,0.3216,\"NA\",\"NA\",0.2798,0.8813]" "[1,1,1,1.25,1.4,2]" NA
103.234 15.374 612842 "Exp.Trial" "ID_120_8" "Der Gehilfe des Gärtners sät Kresse und Radieschen. " 12 "[[142.5,230.5,384,384],[230.5,274.5,384,384],[274.5,373.5,384,384],[373.5,417.5,384,384],[417.5,494.5,384,384],[494.5,538.5,384,384],[538.5,665,384,384]]" 12 "v4" 8 "[2,3,4,5,6,7,8]" "[\"Gehilfe\",\"des\",\"Gärtners\",\"sät\",\"Kresse\",\"und\",\"Radieschen\"]" "[7,3,8,3,6,3,11]" "[1.415,4.4516,0.4771,1.3222,0.301,5.4068,1.415]" "[0,0.4302,0.0465,0.0116,0.0116,0.1395,0.0233]" "[132.4706,141.3124,130.1936,131.1059,132.4647,140.6863,127.9258]" "[0.703,\"NA\",0.6267,\"NA\",0.3121,\"NA\",0.4594]" "[1.95,1,2.3,1,1.5,1,2.95]" NA
120.925 6.207 630533 "Exp.Trial" "ID_121_7" "Die zwei Nichten öden sich gegenseitig an. " 13 "[[142.5,197.5,384,384],[197.5,285.5,384,384],[285.5,340.5,384,384],[340.5,395.5,384,384],[395.5,527.5,384,384],[527.5,566,384,384]]" 13 "v4" 7 "[2,3,4,5,6,7]" "[\"zwei\",\"Nichten\",\"öden\",\"sich\",\"gegenseitig\",\"an\"]" "[4,7,4,4,11,3]" "[4.177,1.3424,1.3802,4.9203,2.8585,4.9913]" "[0,0,0,0.6047,0.3953,0.9186]" "[123.6961,134.2734,144.5588,134.2902,135.9815,100.6092]" "[\"NA\",0.103,\"NA\",\"NA\",0.2176,\"NA\"]" "[1.35,1.35,1.1,1,2.4,1]" NA
130.971 5.907 640579 "Exp.Trial" "ID_122_10" "Sei so gut und miß bitte die Tiefe des Regals. " 14 "[[142.5,175.5,384,384],[175.5,219.5,384,384],[219.5,263.5,384,384],[263.5,307.5,384,384],[307.5,373.5,384,384],[373.5,417.5,384,384],[417.5,483.5,384,384],[483.5,527.5,384,384],[527.5,610,384,384]]" 14 "v4" 10 "[2,3,4,5,6,7,8,9,10]" "[\"so\",\"gut\",\"und\",\"miß\",\"bitte\",\"die\",\"Tiefe\",\"des\",\"Regals\"]" "[2,3,3,3,5,3,5,3,7]" "[5.0442,4.7348,5.4068,1.4624,4.3888,5.5136,2.415,4.4516,0]" "[0.0353,0.2588,0.7176,0,0.0235,0.5765,0,0.6471,0.0235]" "[127.5902,137.5203,140.6863,146.2876,125.1082,133.0667,130.2675,141.3124,126.6073]" "[\"NA\",\"NA\",\"NA\",\"NA\",0.365,\"NA\",0.5339,\"NA\",0.6506]" "[1,1,1,1,1,1,1.3,1,1.85]" NA
139.688 4.321 649296 "Exp.Trial" "ID_123_8" "Jetzt rate doch mal, wen ich gesehen habe! " 15 "[[164.5,219.5,384,384],[219.5,274.5,384,384],[274.5,329.5,384,384],[274.5,329.5,384,384],[329.5,373.5,384,384],[373.5,417.5,384,384],[417.5,505.5,384,384],[505.5,566,384,384]]" 15 "v4" 8 "[2,3,4,4,5,6,7,8]" "[\"rate\",\"doch\",\"mal\",\"mal\",\"wen\",\"ich\",\"gesehen\",\"habe\"]" "[4,4,3,4,3,3,7,5]" "[2.4298,4.7422,4.7522,4.7522,3.3744,5.6438,4.2184,4.9709]" "[0,0.0116,0.4824,0.686,0.0116,0.593,0,0.9535]" "[121.3471,141.2451,148.8771,111.6578,137.0327,124.3542,140.3289,127.4878]" "[\"NA\",\"NA\",\"NA\",\"NA\",\"NA\",\"NA\",0.3605,0.5923]" "[1,1,1,1,1,1,1.45,1]" NA
146.085 4.792 655693 "Exp.Trial" "ID_124_9" "Sei so lieb und lies mir die Angaben vor! " 16 "[[142.5,175.5,384,384],[175.5,230.5,384,384],[230.5,274.5,384,384],[274.5,329.5,384,384],[329.5,373.5,384,384],[373.5,417.5,384,384],[417.5,505.5,384,384],[505.5,555,384,384]]" 16 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"so\",\"lieb\",\"und\",\"lies\",\"mir\",\"die\",\"Angaben\",\"vor\"]" "[2,4,3,4,3,3,7,4]" "[5.0442,3.1248,5.4068,2.2989,5.2001,5.5136,2.0607,4.5422]" "[0.0349,0.2209,0.7674,0,0.593,0.0814,0,0.6628]" "[127.5902,125.7167,140.6863,117.2412,126.2418,133.0667,147.0381,100.3314]" "[\"NA\",\"NA\",\"NA\",\"NA\",\"NA\",\"NA\",0.4885,\"NA\"]" "[1,1,1,1,1,1,1.85,1]" "1"
160.586 3.392 670194 "Exp.Trial" "ID_125_8" "Bitte wirf den Ball nicht wieder aufs Dach. " 17 "[[164.5,219.5,384,384],[219.5,263.5,384,384],[263.5,318.5,384,384],[318.5,384.5,384,384],[384.5,461.5,384,384],[461.5,516.5,384,384],[516.5,577,384,384]]" 17 "v4" 8 "[2,3,4,5,6,7,8]" "[\"wirf\",\"den\",\"Ball\",\"nicht\",\"wieder\",\"aufs\",\"Dach\"]" "[4,3,4,5,6,4,5]" "[2.3181,5.163,3.1508,5.6257,4.6018,3.3397,3.0903]" "[0,0.2169,0.506,0.3735,0.012,0,0.5301]" "[121.4941,143.4627,133.3716,131.8525,130.6824,127.8667,121.7906]" "[\"NA\",\"NA\",\"NA\",0.2879,0.2039,\"NA\",0.5923]" "[1.1,1,1,1,1.1,1,1]" "1"
173.369 3.718 682977 "Exp.Trial" "ID_126_6" "Bitte hilf deiner Schwester beim Aufräumen. " 18 "[[164.5,219.5,384,384],[219.5,296.5,384,384],[296.5,406.5,384,384],[406.5,461.5,384,384],[461.5,577,384,384]]" 18 "v4" 6 "[2,3,4,5,6]" "[\"hilf\",\"deiner\",\"Schwester\",\"beim\",\"Aufräumen\"]" "[4,6,9,4,10]" "[2.9552,3.8763,3.7496,3.8822,1.6128]" "[0.0116,0.0233,0.4535,0.3372,0.2093]" "[123.8118,128.4954,133.0854,140.9324,127.1004]" "[\"NA\",0.144,0.204,\"NA\",0.3872]" "[1.3,1,1.55,1.05,2.25]" NA
180.373 9.564 689981 "Exp.Trial" "ID_127_8" "Die streikenden Fahrer konnte man kilometerweit hupen hören. " 19 "[[142.5,274.5,384,384],[274.5,351.5,384,384],[351.5,428.5,384,384],[428.5,472.5,384,384],[472.5,626.5,384,384],[626.5,692.5,384,384],[692.5,764,384,384]]" 19 "v4" 8 "[2,3,4,5,6,7,8]" "[\"streikenden\",\"Fahrer\",\"konnte\",\"man\",\"kilometerweit\",\"hupen\",\"hören\"]" "[11,6,6,3,13,5,6]" "[0.6021,2.9047,3.9225,4.6026,0.8451,1.5051,3.9366]" "[0,0,0.0118,0.1529,0.0118,0.0235,1]" "[129.944,128.9876,132.1967,144.6941,126.213,142.9906,118.5072]" "[0.1369,0.2448,0.2798,\"NA\",0.874,0.9311,0.5646]" "[2.45,1.2,1,1,4.85,1.8,1.1]" "1"
200.515 7.622 710123 "Exp.Trial" "ID_128_9" "Die Gärtner mähen den Rasen im Park jeden Mittwoch. " 20 "[[142.5,230.5,384,384],[230.5,296.5,384,384],[296.5,340.5,384,384],[340.5,406.5,384,384],[406.5,439.5,384,384],[439.5,494.5,384,384],[494.5,560.5,384,384],[560.5,665,384,384]]" 20 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Gärtner\",\"mähen\",\"den\",\"Rasen\",\"im\",\"Park\",\"jeden\",\"Mittwoch\"]" "[7,5,3,5,2,4,5,9]" "[2,1.4771,5.163,2.3118,4.7586,3.1399,3.8264,2.5658]" "[0,0,0.5977,0.8736,0.092,0.2989,0.046,0.0115]" "[130.6695,147.829,143.4627,139.9624,135.8078,135.1637,136.4345,122.858]" "[0.7275,0.5339,\"NA\",0.3663,\"NA\",\"NA\",0.322,0.9928]" "[1.9,1.45,1,1,1,1,1.4,3.15]" NA
