"onset" "duration" "sample" "trial_type" "stim_file" "event_nr" "aoi" "trial" "trialID" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
112.882 5.861 6221931 "Exp.Trial" "Die Eltern konnten ihre Kinder im Garten raufen hören. " 11 "[[142.5,219.5,\"NA\",\"NA\"],[219.5,307.5,\"NA\",\"NA\"],[307.5,362.5,\"NA\",\"NA\"],[362.5,439.5,\"NA\",\"NA\"],[439.5,472.5,\"NA\",\"NA\"],[472.5,549.5,\"NA\",\"NA\"],[549.5,626.5,\"NA\",\"NA\"],[626.5,698,\"NA\",\"NA\"]]" 11 "ID_11_9" "v1" 9 "[2,3,4,5,6,7,8,9]" "[\"Eltern\",\"konnten\",\"ihre\",\"Kinder\",\"im\",\"Garten\",\"raufen\",\"hören\"]" "[6,7,4,6,2,6,6,6]" "[3.6115,3.3773,4.1595,3.9833,4.7586,2.8681,0.699,3.9366]" "[0.0235,0,0.0588,0.8353,0,0.1176,0,0.0118]" "[128.7627,132.3563,123.6931,135.1464,135.8078,137.5477,126.0627,118.5072]" "[0.4883,0.1108,\"NA\",0.2448,\"NA\",0.2119,0.144,0.5646]" "[1.35,1.35,1,1,1,1,1.05,1.1]" NA
120.865 6.523 6229914 "Exp.Trial" "Er hätte nicht auch noch am Telefon nörgeln sollen. " 12 "[[131.5,197.5,\"NA\",\"NA\"],[197.5,263.5,\"NA\",\"NA\"],[263.5,318.5,\"NA\",\"NA\"],[318.5,373.5,\"NA\",\"NA\"],[373.5,406.5,\"NA\",\"NA\"],[406.5,494.5,\"NA\",\"NA\"],[494.5,582.5,\"NA\",\"NA\"],[582.5,665,\"NA\",\"NA\"]]" 12 "ID_12_9" "v1" 9 "[2,3,4,5,6,7,8,9]" "[\"hätte\",\"nicht\",\"auch\",\"noch\",\"am\",\"Telefon\",\"nörgeln\",\"sollen\"]" "[5,5,4,4,2,7,7,7]" "[4.2475,5.6257,4.8407,4.9381,4.3613,3.5592,1.3424,4.0093]" "[0,0.0235,0,0.6588,0.0118,0,0,0.7059]" "[133.5286,131.8525,131.3088,133.1422,150.3843,131.3529,133.6359,110.619]" "[0.479,0.2879,\"NA\",\"NA\",\"NA\",0.9489,0.6524,0.144]" "[1.3,1,1,1,1,1.45,1.95,1]" NA
129.137 6.506 6238186 "Exp.Trial" "Wegen ihrer Diät hatte die Gräfin leider keine Auster nehmen dürfen. " 13 "[[164.5,230.5,\"NA\",\"NA\"],[230.5,285.5,\"NA\",\"NA\"],[285.5,351.5,\"NA\",\"NA\"],[351.5,395.5,\"NA\",\"NA\"],[395.5,472.5,\"NA\",\"NA\"],[472.5,549.5,\"NA\",\"NA\"],[549.5,615.5,\"NA\",\"NA\"],[615.5,692.5,\"NA\",\"NA\"],[692.5,769.5,\"NA\",\"NA\"],[769.5,852,\"NA\",\"NA\"]]" 13 "ID_13_11" "v1" 11 "[2,3,4,5,6,7,8,9,10,11]" "[\"ihrer\",\"Diät\",\"hatte\",\"die\",\"Gräfin\",\"leider\",\"keine\",\"Auster\",\"nehmen\",\"dürfen\"]" "[5,4,5,3,6,6,5,6,6,7]" "[3.6266,2.2095,4.396,5.5136,1.8129,3.284,4.6341,1.415,3.9018,3.5193]" "[0.0119,0,0.0357,0.119,0.0119,0,0.2738,0,0,0.1667]" "[120.3765,134.5206,129.6235,133.0667,132.168,124.381,129.8745,128.2248,142.1673,121.0835]" "[0.5339,\"NA\",0.2879,\"NA\",0.9542,0.2646,0.2879,0.8162,0.2646,0.3121]" "[1.45,1.8,1,1,2.35,1.25,1,1.35,1.35,1.4]" NA
138.916 4.473 6247965 "Exp.Trial" "Die meisten Hamster bleiben bei Tag in ihrem Häuschen. " 14 "[[142.5,230.5,\"NA\",\"NA\"],[230.5,318.5,\"NA\",\"NA\"],[318.5,406.5,\"NA\",\"NA\"],[406.5,450.5,\"NA\",\"NA\"],[450.5,494.5,\"NA\",\"NA\"],[494.5,527.5,\"NA\",\"NA\"],[527.5,593.5,\"NA\",\"NA\"],[593.5,698,\"NA\",\"NA\"]]" 14 "ID_14_9" "v1" 9 "[2,3,4,5,6,7,8,9]" "[\"meisten\",\"Hamster\",\"bleiben\",\"bei\",\"Tag\",\"in\",\"ihrem\",\"Häuschen\"]" "[7,7,7,3,3,2,5,9]" "[3.3869,1.8921,3.9898,4.5715,4.2126,5.2604,3.6051,2.1644]" "[0.0235,0,0,0.0588,0.1059,0.5529,0.7294,0.0588]" "[130.0202,137.9266,132.6134,131.4131,153.7922,117.7196,132.8525,128.5852]" "[0.0917,0.6524,0.3605,\"NA\",\"NA\",\"NA\",0.5646,0.0668]" "[1.25,1.9,1.55,1,1,1,1.55,1.4]" NA
146.474 5.778 6255523 "Exp.Trial" "Man sollte nie Geschirr mit einem dreckigen Lappen spülen müssen. " 15 "[[142.5,219.5,\"NA\",\"NA\"],[219.5,263.5,\"NA\",\"NA\"],[263.5,362.5,\"NA\",\"NA\"],[362.5,406.5,\"NA\",\"NA\"],[406.5,472.5,\"NA\",\"NA\"],[472.5,582.5,\"NA\",\"NA\"],[582.5,659.5,\"NA\",\"NA\"],[659.5,736.5,\"NA\",\"NA\"],[736.5,819,\"NA\",\"NA\"]]" 15 "ID_15_10" "v1" 10 "[2,3,4,5,6,7,8,9,10]" "[\"sollte\",\"nie\",\"Geschirr\",\"mit\",\"einem\",\"dreckigen\",\"Lappen\",\"spülen\",\"müssen\"]" "[6,3,8,3,5,9,6,6,7]" "[4.1917,4.4507,2.0899,5.1841,4.5288,2.3054,1.9395,1.716,4.4641]" "[0.0595,0.0357,0,0.1071,0.0714,0.0476,0.4048,0.0238,0]" "[119.9059,122.2627,126.8554,129.0889,133.5255,134.7608,146.0111,135.9634,123.9513]" "[0.144,\"NA\",0.9971,\"NA\",0.2879,0.1948,0.2646,0.6506,0.2646]" "[1,1,2.75,1,1,2.15,1.05,1.8,1]" NA
155.1 7.909 6264149 "Exp.Trial" "Man kann Spargel dämpfen oder in viel Wasser kochen. " 16 "[[142.5,197.5,\"NA\",\"NA\"],[197.5,285.5,\"NA\",\"NA\"],[285.5,373.5,\"NA\",\"NA\"],[373.5,428.5,\"NA\",\"NA\"],[428.5,461.5,\"NA\",\"NA\"],[461.5,516.5,\"NA\",\"NA\"],[516.5,593.5,\"NA\",\"NA\"],[593.5,676,\"NA\",\"NA\"]]" 16 "ID_16_9" "v1" 9 "[2,3,4,5,6,7,8,9]" "[\"kann\",\"Spargel\",\"dämpfen\",\"oder\",\"in\",\"viel\",\"Wasser\",\"kochen\"]" "[4,7,7,4,2,4,6,7]" "[4.8285,1.4314,1.2553,4.6621,5.2604,4.3869,3.7491,2.8062]" "[0.4699,0,0,0.506,0.0361,0.012,0.5422,0.747]" "[137.2853,141.916,150.5815,133.1255,117.7196,112.0353,138.5765,121.7697]" "[\"NA\",0.8813,0.1108,\"NA\",\"NA\",\"NA\",0.4883,0.1805]" "[1,2.1,1.6,1,1,1,1.15,1]" NA
165.089 6.102 6274138 "Exp.Trial" "Manchmal sagen Opfer vor Gericht nicht die volle Wahrheit. " 17 "[[197.5,263.5,\"NA\",\"NA\"],[263.5,329.5,\"NA\",\"NA\"],[329.5,373.5,\"NA\",\"NA\"],[373.5,461.5,\"NA\",\"NA\"],[461.5,527.5,\"NA\",\"NA\"],[527.5,571.5,\"NA\",\"NA\"],[571.5,637.5,\"NA\",\"NA\"],[637.5,742,\"NA\",\"NA\"]]" 17 "ID_17_9" "v1" 9 "[2,3,4,5,6,7,8,9]" "[\"sagen\",\"Opfer\",\"vor\",\"Gericht\",\"nicht\",\"die\",\"volle\",\"Wahrheit\"]" "[5,5,3,7,5,3,5,9]" "[4.521,3.2735,4.5422,3.0554,5.6257,5.5136,2.6484,3.704]" "[0,0,0,0.3059,0.5059,0.5529,0.0118,1]" "[139.3388,140.7224,133.7752,128.0745,131.8525,133.0667,116.5922,122.654]" "[0.2879,0.6327,\"NA\",0.0577,0.2879,\"NA\",0.2879,0.8338]" "[1,1.55,1,1.4,1,1,1,2.25]" NA
172.825 4.61 6281874 "Exp.Trial" "Die meisten Befragten hören Musik zur Entspannung. " 18 "[[142.5,230.5,\"NA\",\"NA\"],[230.5,340.5,\"NA\",\"NA\"],[340.5,406.5,\"NA\",\"NA\"],[406.5,472.5,\"NA\",\"NA\"],[472.5,516.5,\"NA\",\"NA\"],[516.5,654,\"NA\",\"NA\"]]" 18 "ID_18_7" "v1" 7 "[2,3,4,5,6,7]" "[\"meisten\",\"Befragten\",\"hören\",\"Musik\",\"zur\",\"Entspannung\"]" "[7,9,5,5,3,12]" "[3.3869,0.4771,3.9366,3.8002,4.2521,1.8513]" "[0.1176,0,0,0.0235,0.0118,0.2824]" "[130.0202,137.6889,142.2086,138.5224,115.0013,132.5667]" "[0.0917,0.2299,0.5646,0.6574,\"NA\",0.2721]" "[1.25,1.8,1.1,1.6,1,2.85]" "1"
186.435 4.08 6295484 "Exp.Trial" "Kinder essen Quark am Liebsten mit Früchten. " 19 "[[175.5,241.5,\"NA\",\"NA\"],[241.5,307.5,\"NA\",\"NA\"],[307.5,340.5,\"NA\",\"NA\"],[340.5,439.5,\"NA\",\"NA\"],[439.5,483.5,\"NA\",\"NA\"],[483.5,588,\"NA\",\"NA\"]]" 19 "ID_19_7" "v1" 7 "[2,3,4,5,6,7]" "[\"essen\",\"Quark\",\"am\",\"liebsten\",\"mit\",\"Früchten\"]" "[5,5,2,8,3,9]" "[3.7522,1.1461,4.3613,1.8751,5.1841,1.3979]" "[0,0,0.0698,0.8837,0.686,0.2558]" "[129.9475,142.6408,150.3843,\"NA\",129.0889,120.1146]" "[0.3175,0.9311,\"NA\",\"NA\",\"NA\",0.4204]" "[1,1.75,1,1.7,1,1.85]" NA
191.818 7.469 6300867 "Exp.Trial" "Bei Wölfen leben Rudel nicht verwandter Tiere in getrennten Revieren. " 20 "[[142.5,219.5,\"NA\",\"NA\"],[219.5,285.5,\"NA\",\"NA\"],[285.5,351.5,\"NA\",\"NA\"],[351.5,417.5,\"NA\",\"NA\"],[417.5,538.5,\"NA\",\"NA\"],[538.5,604.5,\"NA\",\"NA\"],[604.5,637.5,\"NA\",\"NA\"],[637.5,758.5,\"NA\",\"NA\"],[758.5,863,\"NA\",\"NA\"]]" 20 "ID_20_10" "v1" 10 "[2,3,4,5,6,7,8,9,10]" "[\"Wölfen\",\"leben\",\"Rudel\",\"nicht\",\"verwandter\",\"Tiere\",\"in\",\"getrennten\",\"Revieren\"]" "[6,5,5,5,10,5,2,10,9]" "[1.8921,3.7875,1.7076,5.6257,0.8451,3.0116,5.2604,1.3222,0]" "[0,0,0,0,0,0.5059,0.0824,0.0235,0.1294]" "[137.034,133.0808,141.1459,131.8525,127.5314,125.6282,117.7196,130.629,117.4309]" "[0.9389,0.2879,0.9311,0.2879,0.1594,0.5339,\"NA\",0.1722,0.4204]" "[1.85,1,1.6,1,2.05,1,1,2.35,1.9]" NA
