"trialNr","nwords","stim_file","trialID","taskVersion","aoi","aoiInfo_wordPosition","aoiInfo_word","aoiInfo_nchar","aoiInfo_freq","aoiInfo_pred","aoiInfo_lum_norm","aoiInfo_simBOLD_res","aoiInfo_OLD20"
11,9,"Die Eltern konnten ihre Kinder im Garten raufen hören. ","ID_11_9","v1","[[142.5,219.5,384,384],[219.5,307.5,384,384],[307.5,362.5,384,384],[362.5,439.5,384,384],[439.5,472.5,384,384],[472.5,549.5,384,384],[549.5,626.5,384,384],[626.5,698,384,384]]","[2,3,4,5,6,7,8,9]","[""Eltern"",""konnten"",""ihre"",""Kinder"",""im"",""Garten"",""raufen"",""hören""]","[6,7,4,6,2,6,6,6]","[3.6115,3.3773,4.1595,3.9833,4.7586,2.8681,0.699,3.9366]","[0.0235,0,0.0588,0.8353,0,0.1176,0,0.0118]","[128.7627,132.3563,123.6931,135.1464,135.8078,137.5477,126.0627,118.5072]","[0.4883,0.1108,""NA"",0.2448,""NA"",0.2119,0.144,0.5646]","[1.35,1.35,1,1,1,1,1.05,1.1]"
12,9,"Er hätte nicht auch noch am Telefon nörgeln sollen. ","ID_12_9","v1","[[131.5,197.5,384,384],[197.5,263.5,384,384],[263.5,318.5,384,384],[318.5,373.5,384,384],[373.5,406.5,384,384],[406.5,494.5,384,384],[494.5,582.5,384,384],[582.5,665,384,384]]","[2,3,4,5,6,7,8,9]","[""hätte"",""nicht"",""auch"",""noch"",""am"",""Telefon"",""nörgeln"",""sollen""]","[5,5,4,4,2,7,7,7]","[4.2475,5.6257,4.8407,4.9381,4.3613,3.5592,1.3424,4.0093]","[0,0.0235,0,0.6588,0.0118,0,0,0.7059]","[133.5286,131.8525,131.3088,133.1422,150.3843,131.3529,133.6359,110.619]","[0.479,0.2879,""NA"",""NA"",""NA"",0.9489,0.6524,0.144]","[1.3,1,1,1,1,1.45,1.95,1]"
13,11,"Wegen ihrer Diät hatte die Gräfin leider keine Auster nehmen dürfen. ","ID_13_11","v1","[[164.5,230.5,384,384],[230.5,285.5,384,384],[285.5,351.5,384,384],[351.5,395.5,384,384],[395.5,472.5,384,384],[472.5,549.5,384,384],[549.5,615.5,384,384],[615.5,692.5,384,384],[692.5,769.5,384,384],[769.5,852,384,384]]","[2,3,4,5,6,7,8,9,10,11]","[""ihrer"",""Diät"",""hatte"",""die"",""Gräfin"",""leider"",""keine"",""Auster"",""nehmen"",""dürfen""]","[5,4,5,3,6,6,5,6,6,7]","[3.6266,2.2095,4.396,5.5136,1.8129,3.284,4.6341,1.415,3.9018,3.5193]","[0.0119,0,0.0357,0.119,0.0119,0,0.2738,0,0,0.1667]","[120.3765,134.5206,129.6235,133.0667,132.168,124.381,129.8745,128.2248,142.1673,121.0835]","[0.5339,""NA"",0.2879,""NA"",0.9542,0.2646,0.2879,0.8162,0.2646,0.3121]","[1.45,1.8,1,1,2.35,1.25,1,1.35,1.35,1.4]"
14,9,"Die meisten Hamster bleiben bei Tag in ihrem Häuschen. ","ID_14_9","v1","[[142.5,230.5,384,384],[230.5,318.5,384,384],[318.5,406.5,384,384],[406.5,450.5,384,384],[450.5,494.5,384,384],[494.5,527.5,384,384],[527.5,593.5,384,384],[593.5,698,384,384]]","[2,3,4,5,6,7,8,9]","[""meisten"",""Hamster"",""bleiben"",""bei"",""Tag"",""in"",""ihrem"",""Häuschen""]","[7,7,7,3,3,2,5,9]","[3.3869,1.8921,3.9898,4.5715,4.2126,5.2604,3.6051,2.1644]","[0.0235,0,0,0.0588,0.1059,0.5529,0.7294,0.0588]","[130.0202,137.9266,132.6134,131.4131,153.7922,117.7196,132.8525,128.5852]","[0.0917,0.6524,0.3605,""NA"",""NA"",""NA"",0.5646,0.0668]","[1.25,1.9,1.55,1,1,1,1.55,1.4]"
15,10,"Man sollte nie Geschirr mit einem dreckigen Lappen spülen müssen. ","ID_15_10","v1","[[142.5,219.5,384,384],[219.5,263.5,384,384],[263.5,362.5,384,384],[362.5,406.5,384,384],[406.5,472.5,384,384],[472.5,582.5,384,384],[582.5,659.5,384,384],[659.5,736.5,384,384],[736.5,819,384,384]]","[2,3,4,5,6,7,8,9,10]","[""sollte"",""nie"",""Geschirr"",""mit"",""einem"",""dreckigen"",""Lappen"",""spülen"",""müssen""]","[6,3,8,3,5,9,6,6,7]","[4.1917,4.4507,2.0899,5.1841,4.5288,2.3054,1.9395,1.716,4.4641]","[0.0595,0.0357,0,0.1071,0.0714,0.0476,0.4048,0.0238,0]","[119.9059,122.2627,126.8554,129.0889,133.5255,134.7608,146.0111,135.9634,123.9513]","[0.144,""NA"",0.9971,""NA"",0.2879,0.1948,0.2646,0.6506,0.2646]","[1,1,2.75,1,1,2.15,1.05,1.8,1]"
16,9,"Man kann Spargel dämpfen oder in viel Wasser kochen. ","ID_16_9","v1","[[142.5,197.5,384,384],[197.5,285.5,384,384],[285.5,373.5,384,384],[373.5,428.5,384,384],[428.5,461.5,384,384],[461.5,516.5,384,384],[516.5,593.5,384,384],[593.5,676,384,384]]","[2,3,4,5,6,7,8,9]","[""kann"",""Spargel"",""dämpfen"",""oder"",""in"",""viel"",""Wasser"",""kochen""]","[4,7,7,4,2,4,6,7]","[4.8285,1.4314,1.2553,4.6621,5.2604,4.3869,3.7491,2.8062]","[0.4699,0,0,0.506,0.0361,0.012,0.5422,0.747]","[137.2853,141.916,150.5815,133.1255,117.7196,112.0353,138.5765,121.7697]","[""NA"",0.8813,0.1108,""NA"",""NA"",""NA"",0.4883,0.1805]","[1,2.1,1.6,1,1,1,1.15,1]"
17,9,"Manchmal sagen Opfer vor Gericht nicht die volle Wahrheit. ","ID_17_9","v1","[[197.5,263.5,384,384],[263.5,329.5,384,384],[329.5,373.5,384,384],[373.5,461.5,384,384],[461.5,527.5,384,384],[527.5,571.5,384,384],[571.5,637.5,384,384],[637.5,742,384,384]]","[2,3,4,5,6,7,8,9]","[""sagen"",""Opfer"",""vor"",""Gericht"",""nicht"",""die"",""volle"",""Wahrheit""]","[5,5,3,7,5,3,5,9]","[4.521,3.2735,4.5422,3.0554,5.6257,5.5136,2.6484,3.704]","[0,0,0,0.3059,0.5059,0.5529,0.0118,1]","[139.3388,140.7224,133.7752,128.0745,131.8525,133.0667,116.5922,122.654]","[0.2879,0.6327,""NA"",0.0577,0.2879,""NA"",0.2879,0.8338]","[1,1.55,1,1.4,1,1,1,2.25]"
18,7,"Die meisten Befragten hören Musik zur Entspannung. ","ID_18_7","v1","[[142.5,230.5,384,384],[230.5,340.5,384,384],[340.5,406.5,384,384],[406.5,472.5,384,384],[472.5,516.5,384,384],[516.5,654,384,384]]","[2,3,4,5,6,7]","[""meisten"",""Befragten"",""hören"",""Musik"",""zur"",""Entspannung""]","[7,9,5,5,3,12]","[3.3869,0.4771,3.9366,3.8002,4.2521,1.8513]","[0.1176,0,0,0.0235,0.0118,0.2824]","[130.0202,137.6889,142.2086,138.5224,115.0013,132.5667]","[0.0917,0.2299,0.5646,0.6574,""NA"",0.2721]","[1.25,1.8,1.1,1.6,1,2.85]"
19,7,"Kinder essen Quark am Liebsten mit Früchten. ","ID_19_7","v1","[[175.5,241.5,384,384],[241.5,307.5,384,384],[307.5,340.5,384,384],[340.5,439.5,384,384],[439.5,483.5,384,384],[483.5,588,384,384]]","[2,3,4,5,6,7]","[""essen"",""Quark"",""am"",""liebsten"",""mit"",""Früchten""]","[5,5,2,8,3,9]","[3.7522,1.1461,4.3613,1.8751,5.1841,1.3979]","[0,0,0.0698,0.8837,0.686,0.2558]","[129.9475,142.6408,150.3843,""NA"",129.0889,120.1146]","[0.3175,0.9311,""NA"",""NA"",""NA"",0.4204]","[1,1.75,1,1.7,1,1.85]"
20,10,"Bei Wölfen leben Rudel nicht verwandter Tiere in getrennten Revieren. ","ID_20_10","v1","[[142.5,219.5,384,384],[219.5,285.5,384,384],[285.5,351.5,384,384],[351.5,417.5,384,384],[417.5,538.5,384,384],[538.5,604.5,384,384],[604.5,637.5,384,384],[637.5,758.5,384,384],[758.5,863,384,384]]","[2,3,4,5,6,7,8,9,10]","[""Wölfen"",""leben"",""Rudel"",""nicht"",""verwandter"",""Tiere"",""in"",""getrennten"",""Revieren""]","[6,5,5,5,10,5,2,10,9]","[1.8921,3.7875,1.7076,5.6257,0.8451,3.0116,5.2604,1.3222,0]","[0,0,0,0,0,0.5059,0.0824,0.0235,0.1294]","[137.034,133.0808,141.1459,131.8525,127.5314,125.6282,117.7196,130.629,117.4309]","[0.9389,0.2879,0.9311,0.2879,0.1594,0.5339,""NA"",0.1722,0.4204]","[1.85,1,1.6,1,2.05,1,1,2.35,1.9]"
21,11,"Die Frauen in den Andendörfern weben Stoff noch auf traditionellen Webstühlen. ","ID_21_11","v1","[[142.5,219.5,384,384],[219.5,252.5,384,384],[252.5,296.5,384,384],[296.5,439.5,384,384],[439.5,505.5,384,384],[505.5,571.5,384,384],[571.5,626.5,384,384],[626.5,670.5,384,384],[670.5,835.5,384,384],[835.5,962,384,384]]","[2,3,4,5,6,7,8,9,10,11]","[""Frauen"",""in"",""den"",""Andendörfern"",""weben"",""Stoff"",""noch"",""auf"",""traditionelle"",""Webstühlen""]","[6,2,3,12,5,5,4,3,14,11]","[3.7627,5.2604,5.163,0,1.2041,2.8215,4.9381,5.1189,1.6902,0]","[0.0118,0.0353,0.0941,0,0,0,0.0118,0.0235,0,0.5882]","[128.1601,117.7196,143.4627,137.6516,140.6424,134.531,133.1422,140.6131,""NA"",128.4225]","[0.2448,""NA"",""NA"",0.8521,0.2879,0.9849,""NA"",""NA"",""NA"",0.5608]","[1.35,1,1,5.05,1,1.4,1,1,2.85,3.3]"
22,11,"Die Platzwarte ebnen Stück für Stück den Rasen nach dem Spiel. ","ID_22_11","v1","[[142.5,263.5,384,384],[263.5,329.5,384,384],[329.5,395.5,384,384],[395.5,439.5,384,384],[439.5,505.5,384,384],[505.5,549.5,384,384],[549.5,615.5,384,384],[615.5,670.5,384,384],[670.5,714.5,384,384],[714.5,786,384,384]]","[2,3,4,5,6,7,8,9,10,11]","[""Platzwarte"",""ebnen"",""Stück"",""für"",""Stück"",""den"",""Rasen"",""nach"",""dem"",""Spiel""]","[10,5,5,3,5,3,5,4,3,6]","[0,0.8451,3.5015,5.0261,3.5015,5.163,2.3118,4.6686,4.875,3.7208]","[0,0,0,0.9518,0.9398,0.7108,0.2892,0,0.6747,0.6265]","[125.3286,138.018,138.851,126.6536,138.851,143.4627,139.9624,133.8824,155.5216,120.0824]","[0.4707,0.6327,0.8355,""NA"",0.8355,""NA"",0.3663,""NA"",""NA"",0.5646]","[3.25,1.7,1.45,1,1.45,1,1,1,1,1.15]"
23,7,"In den Fässern gären Beize und Lauge. ","ID_23_7","v1","[[131.5,175.5,384,384],[175.5,263.5,384,384],[263.5,329.5,384,384],[329.5,395.5,384,384],[395.5,439.5,384,384],[439.5,511,384,384]]","[2,3,4,5,6,7]","[""den"",""Fässern"",""gären"",""Beize"",""und"",""Lauge""]","[3,7,5,5,3,6]","[5.163,1.3979,0.699,0,5.4068,1.1139]","[0.0595,0,0,0,0.8214,0.0119]","[143.4627,131.3132,139.2933,132.9302,140.6863,121.7889]","[""NA"",0.7275,0.7319,0.5201,""NA"",0.365]","[1,1.95,1.6,1.4,1,1.25]"
24,8,"Die Förster küren Ahorn zum Baum des Jahres. ","ID_24_8","v1","[[142.5,230.5,384,384],[230.5,296.5,384,384],[296.5,362.5,384,384],[362.5,406.5,384,384],[406.5,461.5,384,384],[461.5,505.5,384,384],[505.5,588,384,384]]","[2,3,4,5,6,7,8]","[""Förster"",""küren"",""Ahorn"",""zum"",""Baum"",""des"",""Jahres""]","[7,5,5,3,4,3,7]","[1.2041,0.6021,1.0414,4.5244,3.0082,4.4516,2.5185]","[0,0,0,0.3412,0.6235,0.8941,0.9294]","[125.5457,133.1106,137.6573,135.7948,152.1853,141.3124,116.2667]","[0.7482,0.9917,0.7847,""NA"",""NA"",""NA"",0.3121]","[1.95,1.75,1.85,1,1,1,1.5]"
25,6,"Wolfgangs Töchter studieren Literatur und Maschinenbau. ","ID_25_6","v1","[[208.5,296.5,384,384],[296.5,406.5,384,384],[406.5,516.5,384,384],[516.5,560.5,384,384],[560.5,709,384,384]]","[2,3,4,5,6]","[""Töchter"",""studieren"",""Literatur"",""und"",""Maschinenbau""]","[7,9,9,3,13]","[2.4314,2.5366,2.0828,5.4068,0.9031]","[0,0.0235,0,0.5059,0]","[132.7289,126.2784,118.5839,140.6863,128.5267]","[0.4885,0.1971,0.9719,""NA"",0.3636]","[1.8,1.8,3.4,1,3.45]"
26,9,"In der Klosterschule herrschen Schwester Agathe und Schwester Maria. ","ID_26_9","v1","[[131.5,175.5,384,384],[175.5,329.5,384,384],[329.5,439.5,384,384],[439.5,549.5,384,384],[549.5,626.5,384,384],[626.5,670.5,384,384],[670.5,780.5,384,384],[780.5,852,384,384]]","[2,3,4,5,6,7,8,9]","[""der"",""Klosterschule"",""herrschen"",""Schwester"",""Agathe"",""und"",""Schwester"",""Maria""]","[3,13,9,9,6,3,9,6]","[5.3728,1.1139,2.1461,3.7496,1.5563,5.4068,3.7496,2.9191]","[0.6824,0,0.0235,0,0.0118,0.9176,0.5176,0.1412]","[134.7281,126.9207,129.1355,133.0854,145.2856,140.6863,133.0854,116.3993]","[""NA"",0.5326,0.1769,0.204,0.2381,""NA"",0.204,0.8355]","[1,4.6,1.8,1.55,2.4,1,1.55,1]"
27,7,"Hier scheinen Klempner am Werk zu sein. ","ID_27_7","v1","[[153.5,252.5,384,384],[252.5,351.5,384,384],[351.5,384.5,384,384],[384.5,439.5,384,384],[439.5,472.5,384,384],[472.5,533,384,384]]","[2,3,4,5,6,7]","[""scheinen"",""Klempner"",""am"",""Werk"",""zu"",""sein""]","[8,8,2,4,2,5]","[2.918,2.1271,4.3613,2.6425,5.3601,4.8345]","[0,0,0.2588,0.4706,0.5412,0.9412]","[128.6564,140.6971,150.3843,140.1137,118.9471,106.1773]","[0.1879,0.5289,""NA"",""NA"",""NA"",0.5923]","[1.75,1.95,1,1,1,1]"
28,8,"Im Aussehen gleichen Bratsche und Geige sich sehr. ","ID_28_8","v1","[[131.5,230.5,384,384],[230.5,329.5,384,384],[329.5,428.5,384,384],[428.5,472.5,384,384],[472.5,538.5,384,384],[538.5,593.5,384,384],[593.5,654,384,384]]","[2,3,4,5,6,7,8]","[""Aussehen"",""gleichen"",""Bratsche"",""und"",""Geige"",""sich"",""sehr""]","[8,8,8,3,5,4,5]","[2.5763,3.1495,0.7782,5.4068,1.9294,4.9203,4.4877]","[0,0.0118,0,0.9294,0.3412,0.7059,0.5059]","[136.5377,131.449,133.5176,140.6863,141.6125,134.2902,111.349]","[0.0668,0.0668,0.3215,""NA"",0.479,""NA"",0.5923]","[1.65,1.6,1.9,1,1.35,1,1]"
29,7,"Angeblich flunkern Künstler oft bezüglich ihrer Einnahmen. ","ID_29_7","v1","[[208.5,307.5,384,384],[307.5,406.5,384,384],[406.5,450.5,384,384],[450.5,560.5,384,384],[560.5,626.5,384,384],[626.5,742,384,384]]","[2,3,4,5,6,7]","[""flunkern"",""Künstler"",""oft"",""bezüglich"",""ihrer"",""Einnahmen""]","[8,8,3,9,5,10]","[0.699,2.7202,3.638,2.3892,3.6266,1.7993]","[0,0,0.0714,0,0.5476,0.0238]","[127.2843,129.5892,124.7582,133.9015,120.3765,130.2133]","[0.4194,0.5774,""NA"",0.3068,0.5339,0.204]","[1.85,2,1,2.25,1.45,1.95]"
30,6,"Manchmal krakeelen Politiker genauso wie Demonstranten. ","ID_30_6","v1","[[197.5,307.5,384,384],[307.5,417.5,384,384],[417.5,505.5,384,384],[505.5,549.5,384,384],[549.5,709,384,384]]","[2,3,4,5,6]","[""krakeelen"",""Politiker"",""genauso"",""wie"",""Demonstranten""]","[9,9,7,3,14]","[0,2.4346,3.3985,4.96,1.7076]","[0,0,0.0118,0.5529,0]","[130.7608,121.9525,135.4331,126.6366,123.3216]","[0.9948,0.4615,0.7482,""NA"",0.2963]","[3.35,2.35,2.05,1,3.9]"
31,9,"Die Armen plündern Speicher und Vorratskeller der reichen Bauern. ","ID_31_9","v1","[[142.5,208.5,384,384],[208.5,307.5,384,384],[307.5,406.5,384,384],[406.5,450.5,384,384],[450.5,604.5,384,384],[604.5,648.5,384,384],[648.5,736.5,384,384],[736.5,819,384,384]]","[2,3,4,5,6,7,8,9]","[""Armen"",""plündern"",""Speicher"",""und"",""Vorratskeller"",""der"",""reichen"",""Bauern""]","[5,8,8,3,13,3,7,7]","[2.8319,1.7709,1.9085,5.4068,0,5.3728,2.9605,2.5647]","[0,0,0,0.5176,0,0.2471,0.0706,0.0118]","[141.3224,136.8833,135.5034,140.6863,122.6015,134.7281,125.1692,121.1798]","[0.2879,0.3827,0.0668,""NA"",0.6515,""NA"",0.005,0.1818]","[1,1.85,1.6,1,4.75,1,1.05,1.25]"
32,8,"Die Richter der Landwirtschaftsschau prämieren Rhabarber und Mangold. ","ID_32_8","v1","[[142.5,230.5,384,384],[230.5,274.5,384,384],[274.5,505.5,384,384],[505.5,615.5,384,384],[615.5,725.5,384,384],[725.5,769.5,384,384],[769.5,863,384,384]]","[2,3,4,5,6,7,8]","[""Richter"",""der"",""Landwirtschaf"",""prämieren"",""Rhabarber"",""und"",""Mangold""]","[7,3,20,9,9,3,8]","[2.9415,5.3728,0,0,0.7782,5.4068,0.301]","[0,0.0353,0,0,0,0.4353,0.0118]","[129.1686,134.7281,""NA"",133.9704,140.0946,140.6863,133.4696]","[0.0954,""NA"",""NA"",0.4615,0.6153,""NA"",0.9489]","[1.3,1,6.1,2.55,3.9,1,2.3]"
33,9,"Schon immer war der Besitz von Land sehr wichtig. ","ID_33_9","v1","[[164.5,230.5,384,384],[230.5,274.5,384,384],[274.5,318.5,384,384],[318.5,395.5,384,384],[395.5,439.5,384,384],[439.5,494.5,384,384],[494.5,549.5,384,384],[549.5,643,384,384]]","[2,3,4,5,6,7,8,9]","[""immer"",""war"",""der"",""Besitz"",""von"",""Land"",""sehr"",""wichtig""]","[5,3,3,6,3,4,4,8]","[4.6174,5.0288,5.3728,2.7348,5.0397,3.7585,4.4877,3.6295]","[0.0349,0.1163,0.2674,0,0.2674,0.0233,0.0349,0.1395]","[135.7725,140.6863,134.7281,129.3026,122.5569,141.0696,139.1863,118.55]","[0.5339,""NA"",""NA"",0.9787,""NA"",""NA"",""NA"",0.0917]","[1.05,1,1,1.75,1,1,1,1.4]"
34,9,"Ein berühmter Maler hat sich selbst ein Ohr abgeschnitten. ","ID_34_9","v1","[[142.5,252.5,384,384],[252.5,318.5,384,384],[318.5,362.5,384,384],[362.5,417.5,384,384],[417.5,494.5,384,384],[494.5,538.5,384,384],[538.5,582.5,384,384],[582.5,742,384,384]]","[2,3,4,5,6,7,8,9]","[""berühmter"",""Maler"",""hat"",""sich"",""selbst"",""ein"",""Ohr"",""abgeschnitten""]","[9,5,3,4,6,3,3,14]","[2.0828,2.2601,5.0598,4.9203,4.1014,5.269,2.8779,2.3802]","[0,0.0471,0.3059,0.0353,0.1412,0.0706,0.2235,0.8824]","[135.5063,133.5467,133.7059,134.2902,128.3529,122.2627,141.0209,123.3204]","[0.2365,0.5201,""NA"",""NA"",0.8162,""NA"",""NA"",0.0031]","[1.8,1,1,1,1.55,1,1,1.95]"
