"onset" "duration" "sample" "trial_type" "eventIdentifier" "event_nr" "aoi" "trial" "target_word" "color" "mask" "underlining" "sentenceNr" "response"
162.006 1.698 12203768 "Exp.Trial" "MASKSCREEN_START_Herde_E_DEG_U_277" 30 "[[266,343,384,384]]" 30 "Herde" "blue" "degradated" "underlined" "204" NA
165.332 2.478 12207094 "Exp.Trial" "MASKSCREEN_START_Logik_K_LET_U_389" 31 "[[378,455,384,384]]" 31 "Logik" "black" "non-degradated" "underlined" "144" NA
169.933 1.784 12211695 "Exp.Trial" "MASKSCREEN_START_Trupp_E_LET_N_240" 32 "[[229,306,384,384]]" 32 "Trupp" "blue" "non-degradated" "not underlined" "262" NA
174.849 2.63 12216611 "Exp.Trial" "MASKSCREEN_START_Tunke_K_DEG_N_252" 33 "[[241,318,384,384]]" 33 "Tunke" "black" "degradated" "not underlined" "30" NA
179.897 3.38 12221659 "Exp.Trial" "MASKSCREEN_START_Sehne_K_DEG_N_376" 34 "[[365,442,384,384]]" 34 "Sehne" "black" "degradated" "not underlined" "26" 0
189.529 2.161 12231291 "Exp.Trial" "MASKSCREEN_START_Onkel_K_DEG_N_228" 35 "[[217,294,384,384]]" 35 "Onkel" "black" "degradated" "not underlined" "35" NA
195.41 1.931 12237172 "Exp.Trial" "MASKSCREEN_START_Messe_E_LET_U_240" 36 "[[229,306,384,384]]" 36 "Messe" "blue" "non-degradated" "underlined" "310" NA
199.193 1.919 12240955 "Exp.Trial" "MASKSCREEN_START_Armee_E_LET_U_290" 37 "[[279,356,384,384]]" 37 "Armee" "blue" "non-degradated" "underlined" "284" 0
207.757 2.399 12249519 "Exp.Trial" "MASKSCREEN_START_Panda_K_DEG_N_265" 38 "[[254,331,384,384]]" 38 "Panda" "black" "degradated" "not underlined" "31" NA
211.98 2.468 12253742 "Exp.Trial" "MASKSCREEN_START_Obhut_K_DEG_N_389" 39 "[[378,455,384,384]]" 39 "Obhut" "black" "degradated" "not underlined" "40" NA
