"onset" "duration" "sample" "trial_type" "stim_file" "event_nr" "aoi" "trial" "trialID" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
133.861 6.35 9431520 "Exp.Trial" "Mandy aß die Mandarine sofort auf. " 11 "[[164.5,197.5,\"NA\",\"NA\"],[197.5,241.5,\"NA\",\"NA\"],[241.5,351.5,\"NA\",\"NA\"],[351.5,428.5,\"NA\",\"NA\"],[428.5,478,\"NA\",\"NA\"]]" 11 "ID_83_6" "v3" 6 "[2,3,4,5,6]" "[\"aß\",\"die\",\"Mandarine\",\"sofort\",\"auf\"]" "[2,3,9,6,4]" "[2.2878,5.5136,1.2788,3.894,5.1189]" "[0,0.0238,0,0,0.7857]" "[149.2627,133.0667,136.0959,122.7608,105.4598]" "[\"NA\",\"NA\",0.7751,0.9831,\"NA\"]" "[1,1,2.5,1.75,1]" NA
142.206 12.803 9439865 "Exp.Trial" "Der Teppich mit dem Schnörkel gefiel Bettina nicht. " 12 "[[142.5,230.5,\"NA\",\"NA\"],[230.5,274.5,\"NA\",\"NA\"],[274.5,318.5,\"NA\",\"NA\"],[318.5,428.5,\"NA\",\"NA\"],[428.5,505.5,\"NA\",\"NA\"],[505.5,593.5,\"NA\",\"NA\"],[593.5,665,\"NA\",\"NA\"]]" 12 "ID_84_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"Teppich\",\"mit\",\"dem\",\"Schnörkel\",\"gefiel\",\"Bettina\",\"nicht\"]" "[7,3,3,9,6,7,6]" "[2.5289,5.1841,4.875,0.9542,2.6646,0.699,5.6257]" "[0,0,0.4762,0,0.0119,0,0.1905]" "[143.8263,129.0889,155.5216,135.3882,129.6078,130.6174,109.8771]" "[0.9861,\"NA\",\"NA\",0.7764,0.8162,0.9597,0.2879]" "[2.5,1,1,2.85,1.7,2.1,1]" NA
156.99 13.139 9454649 "Exp.Trial" "Der majestätische Gletscher wurde schon oft bestiegen. " 13 "[[142.5,296.5,\"NA\",\"NA\"],[296.5,406.5,\"NA\",\"NA\"],[406.5,472.5,\"NA\",\"NA\"],[472.5,538.5,\"NA\",\"NA\"],[538.5,582.5,\"NA\",\"NA\"],[582.5,698,\"NA\",\"NA\"]]" 13 "ID_85_7" "v3" 7 "[2,3,4,5,6,7]" "[\"majestätische\",\"Gletscher\",\"wurde\",\"schon\",\"oft\",\"bestiegen\"]" "[13,9,5,5,3,10]" "[1.1139,1.2553,4.3525,4.8195,3.638,1.3424]" "[0,0,0.0119,0.0476,0.1548,0.2976]" "[130.2151,129.0261,134.7278,131.8863,124.7582,124.389]" "[0.1707,0.417,0.3663,0.479,\"NA\",0.1218]" "[3.2,2.45,1,1.05,1,1.85]" NA
171.465 12.894 9469124 "Exp.Trial" "Der Großvater fand in seinem Pantoffel eine Wäscheklammer. " 14 "[[142.5,252.5,\"NA\",\"NA\"],[252.5,307.5,\"NA\",\"NA\"],[307.5,340.5,\"NA\",\"NA\"],[340.5,417.5,\"NA\",\"NA\"],[417.5,527.5,\"NA\",\"NA\"],[527.5,582.5,\"NA\",\"NA\"],[582.5,742,\"NA\",\"NA\"]]" 14 "ID_86_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"Großvater\",\"fand\",\"in\",\"seinem\",\"Pantoffel\",\"eine\",\"Wäscheklammer\"]" "[9,4,2,6,9,4,14]" "[3.0191,3.4765,5.2604,3.7476,1.1139,5.0745,0.699]" "[0,0,0.0814,0.1395,0,0.3721,0]" "[129.2723,140.1559,117.7196,132.415,128.9089,124.5343,129.8994]" "[0.3512,\"NA\",\"NA\",0.2119,0.9076,\"NA\",0.5721]" "[2,1,1,1.05,3.35,1,4.6]" NA
185.791 5.766 9483450 "Exp.Trial" "Johannes wollte unbedingt Karussell fahren. " 15 "[[197.5,274.5,\"NA\",\"NA\"],[274.5,384.5,\"NA\",\"NA\"],[384.5,494.5,\"NA\",\"NA\"],[494.5,577,\"NA\",\"NA\"]]" 15 "ID_87_5" "v3" 5 "[2,3,4,5]" "[\"wollte\",\"unbedingt\",\"Karussell\",\"fahren\"]" "[6,9,9,7]" "[4.341,3.2721,1.5682,3.7389]" "[0.0115,0.0115,0,0.9655]" "[123.168,137.6837,126.1102,117.8258]" "[0.2039,0.417,0.8391,0.1805]" "[1,2.3,2.4,1.1]" "2"
231.255 5.473 9528914 "Exp.Trial" "Die Olympiade findet dieses Jahr in Australien statt. " 16 "[[142.5,252.5,\"NA\",\"NA\"],[252.5,329.5,\"NA\",\"NA\"],[329.5,406.5,\"NA\",\"NA\"],[406.5,461.5,\"NA\",\"NA\"],[461.5,494.5,\"NA\",\"NA\"],[494.5,615.5,\"NA\",\"NA\"],[615.5,687,\"NA\",\"NA\"]]" 16 "ID_88_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"Olympiade\",\"findet\",\"dieses\",\"Jahr\",\"in\",\"Australien\",\"statt\"]" "[9,6,6,4,2,10,6]" "[1.5682,3.3707,4.1104,3.7293,5.2604,2.4639,3.0759]" "[0,0.131,0.1429,0.9167,0.869,0.119,0.9881]" "[143.1682,129.7451,130.7124,129.6049,117.7196,124.4694,107.0549]" "[0.5136,0.1976,0.2039,\"NA\",\"NA\",0.3346,0.8355]" "[3.65,1.35,1.25,1.25,1,2.45,1.5]" NA
239.693 4.501 9537352 "Exp.Trial" "Sonja kam als einzige pünktlich. " 17 "[[164.5,208.5,\"NA\",\"NA\"],[208.5,252.5,\"NA\",\"NA\"],[252.5,340.5,\"NA\",\"NA\"],[340.5,456,\"NA\",\"NA\"]]" 17 "ID_89_5" "v3" 5 "[2,3,4,5]" "[\"kam\",\"als\",\"Einzige\",\"pünktlich\"]" "[3,3,7,10]" "[3.9022,4.772,3.7039,2.5682]" "[0.0116,0.0233,0,0.0349]" "[150.668,122.2562,\"NA\",123.4753]" "[\"NA\",\"NA\",\"NA\",0.3714]" "[1,1,1.2,2.6]" "1"
253.265 17.103 9550924 "Exp.Trial" "Der alte Mann zog einen Karren zum Marktplatz. " 18 "[[142.5,197.5,\"NA\",\"NA\"],[197.5,252.5,\"NA\",\"NA\"],[252.5,296.5,\"NA\",\"NA\"],[296.5,362.5,\"NA\",\"NA\"],[362.5,439.5,\"NA\",\"NA\"],[439.5,483.5,\"NA\",\"NA\"],[483.5,610,\"NA\",\"NA\"]]" 18 "ID_90_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"alte\",\"Mann\",\"zog\",\"einen\",\"Karren\",\"zum\",\"Marktplatz\"]" "[4,4,3,5,6,3,11]" "[3.5243,4.5382,2.7796,4.901,1.716,4.5244,1.3979]" "[0.0118,0.7765,0,0.0588,0.0706,0.0118,0]" "[121.7265,146.8186,139.0275,126.2902,130.2359,135.7948,125.0357]" "[\"NA\",\"NA\",\"NA\",0.2879,0.1818,\"NA\",0.4574]" "[1,1,1,1,1.2,1,2.8]" NA
271.933 5.828 9569592 "Exp.Trial" "Keiner wußte, was zu tun war. " 19 "[[175.5,252.5,\"NA\",\"NA\"],[252.5,296.5,\"NA\",\"NA\"],[296.5,329.5,\"NA\",\"NA\"],[329.5,373.5,\"NA\",\"NA\"],[373.5,423,\"NA\",\"NA\"]]" 19 "ID_91_6" "v3" 6 "[2,3,4,5,6]" "[\"wußte\",\"was\",\"zu\",\"tun\",\"war\"]" "[6,3,2,3,4]" "[3.8505,5.1261,5.3601,4.5288,5.0288]" "[0.0233,0.1279,0.0116,0.5349,0.6977]" "[120.1562,134.8588,118.9471,123.9948,105.5147]" "[0.9048,\"NA\",\"NA\",\"NA\",\"NA\"]" "[1.4,1,1,1,1]" "1"
286.241 0.873 9583900 "Exp.Trial" "Heute morgen saß auf unserer Terrasse ein Frosch. " 20 "[[164.5,241.5,\"NA\",\"NA\"],[241.5,285.5,\"NA\",\"NA\"],[285.5,329.5,\"NA\",\"NA\"],[329.5,417.5,\"NA\",\"NA\"],[417.5,516.5,\"NA\",\"NA\"],[516.5,560.5,\"NA\",\"NA\"],[560.5,643,\"NA\",\"NA\"]]" 20 "ID_92_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"morgen\",\"saß\",\"auf\",\"unserer\",\"Terrasse\",\"ein\",\"Frosch\"]" "[6,3,3,7,8,3,7]" "[3.8981,2.8129,5.1189,3.6766,1.8808,5.269,2.3856]" "[0.0238,0,0.0357,0,0.1429,0.8095,0]" "[140.5784,141.7961,140.6131,122.8734,127.2662,122.2627,116.1933]" "[0.2448,\"NA\",\"NA\",0.1276,0.5289,\"NA\",0.6506]" "[1.2,1,1,1.4,2.1,1,1.85]" NA
