"onset" "duration" "sample" "trial_type" "eventIdentifier" "stim_file" "event_nr" "aoi" "trial" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
151.95 15.81 671979 "Exp.Trial" "ID_47_8" "Die monotone Arbeit machte den Angestellten keinen Spaß. " 11 "[[142.5,241.5,384,384],[241.5,318.5,384,384],[318.5,395.5,384,384],[395.5,439.5,384,384],[439.5,582.5,384,384],[582.5,659.5,384,384],[659.5,720,384,384]]" 11 "v2" 8 "[2,3,4,5,6,7,8]" "[\"monotone\",\"Arbeit\",\"machte\",\"den\",\"Angestellten\",\"keinen\",\"Spaß\"]" "[8,6,6,3,12,6,5]" "[0.301,3.9824,3.4275,5.163,2.3838,4.1838,3.6986]" "[0,0.1294,0.0588,0.0471,0.0941,0.3176,0.7882]" "[133.5088,130.3928,136.451,143.4627,131.2784,130.4477,135.3835]" "[1,0.9897,0.144,\"NA\",0.0631,0.144,0.9927]" "[2.65,1.7,1,1,2.1,1,1.25]" "1"
178.173 5.697 698202 "Exp.Trial" "ID_48_9" "In dem kleinen Zimmer standen viel zu viele Möbel. " 12 "[[131.5,175.5,384,384],[175.5,263.5,384,384],[263.5,340.5,384,384],[340.5,428.5,384,384],[428.5,483.5,384,384],[483.5,516.5,384,384],[516.5,582.5,384,384],[582.5,654,384,384]]" 12 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"dem\",\"kleinen\",\"Zimmer\",\"standen\",\"viel\",\"zu\",\"viele\",\"Möbel\"]" "[3,7,6,7,4,2,5,6]" "[4.875,3.656,3.6769,2.6149,4.3869,5.3601,4.019,2.3263]" "[0.0119,0.0476,0.0238,0,0.0238,0.2738,0.4524,0.631]" "[155.5216,127.3305,138.1497,133.9277,112.0353,118.9471,115.898,129.1987]" "[\"NA\",0.0954,0.2646,0.1715,\"NA\",\"NA\",0.365,0.9849]" "[1,1.4,1.25,1.45,1,1,1,1.85]" NA
185.572 11.5 705601 "Exp.Trial" "ID_49_9" "Das Fenster im Flur klemmt seit ein paar Tagen. " 13 "[[142.5,230.5,384,384],[230.5,263.5,384,384],[263.5,318.5,384,384],[318.5,395.5,384,384],[395.5,450.5,384,384],[450.5,494.5,384,384],[494.5,549.5,384,384],[549.5,621,384,384]]" 13 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"Fenster\",\"im\",\"Flur\",\"klemmt\",\"seit\",\"ein\",\"paar\",\"Tagen\"]" "[7,2,4,6,4,3,4,6]" "[3.329,4.7586,2.5391,2.2304,3.9332,5.269,4.1455,3.4551]" "[0,0.0595,0.0714,0,0.0714,0,0.6905,0.6905]" "[132.2515,135.8078,120.4118,140.8569,118.9971,122.2627,135.6873,127.2124]" "[0.3605,\"NA\",\"NA\",0.3558,\"NA\",\"NA\",\"NA\",0.2879]" "[1.7,1,1.15,1.7,1,1,1.35,1]" NA
198.39 12.826 718419 "Exp.Trial" "ID_50_9" "Die Sekretärin informierte den Kanzler erst am nächsten Morgen. " 14 "[[142.5,263.5,384,384],[263.5,395.5,384,384],[395.5,439.5,384,384],[439.5,527.5,384,384],[527.5,582.5,384,384],[582.5,615.5,384,384],[615.5,714.5,384,384],[714.5,797,384,384]]" 14 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"Sekretärin\",\"informierte\",\"den\",\"Kanzler\",\"erst\",\"am\",\"nächsten\",\"Morgen\"]" "[10,11,3,7,4,2,8,7]" "[2.4472,1.699,5.163,2.3181,3.9049,4.3613,3.5832,3.9325]" "[0,0,0.5176,0,0,0.1412,0.3529,0.0706]" "[129.8122,123.4763,143.4627,128.2583,120.2431,150.3843,132.7789,128.6549]" "[0.671,0.0568,\"NA\",0.8193,\"NA\",\"NA\",0.1164,0.2448]" "[2.9,1.75,1,1.9,1,1,1.55,1]" "1"
225.319 9.173 745348 "Exp.Trial" "ID_51_9" "Vielleicht gibt es bald im Dezember Ostereier zu kaufen. " 15 "[[219.5,274.5,384,384],[274.5,307.5,384,384],[307.5,362.5,384,384],[362.5,395.5,384,384],[395.5,494.5,384,384],[494.5,604.5,384,384],[604.5,637.5,384,384],[637.5,720,384,384]]" 15 "v2" 9 "[2,3,4,5,6,7,8,9]" "[\"gibt\",\"es\",\"bald\",\"im\",\"Dezember\",\"Ostereier\",\"zu\",\"kaufen\"]" "[4,2,4,2,8,9,2,7]" "[4.4259,5.4176,3.7711,4.7586,2.243,0.699,5.3601,3.436]" "[0.0471,0.9176,0.0706,0,0,0,0.4471,0.3765]" "[138.1078,129.1059,141.599,135.8078,139.4725,123.8523,118.9471,119.6768]" "[\"NA\",\"NA\",\"NA\",\"NA\",0.9837,0.9948,\"NA\",0.1952]" "[1,1,1.45,1,2.55,2.95,1,1.2]" NA
235.786 12.871 755815 "Exp.Trial" "ID_52_10" "Das kleine Unternehmen konnte sich die teure Maschine nicht leisten. " 16 "[[142.5,219.5,384,384],[219.5,351.5,384,384],[351.5,428.5,384,384],[428.5,483.5,384,384],[483.5,527.5,384,384],[527.5,593.5,384,384],[593.5,692.5,384,384],[692.5,758.5,384,384],[758.5,852,384,384]]" 16 "v2" 10 "[2,3,4,5,6,7,8,9,10]" "[\"kleine\",\"Unternehmen\",\"konnte\",\"sich\",\"die\",\"teure\",\"Maschine\",\"nicht\",\"leisten\"]" "[6,11,6,4,3,5,8,5,8]" "[3.7505,2.4928,3.9225,4.9203,5.5136,2.1038,3.0917,5.6257,3.0983]" "[0.0357,0,0.0833,0.4167,0.0238,0,0.2262,0.9167,0.9286]" "[126.3333,136.246,132.1967,134.2902,133.0667,121.6957,135.6544,131.8525,110.8142]" "[0.2119,0.0568,0.2798,\"NA\",\"NA\",0.5201,0.5289,0.2879,0.0954]" "[1.35,1.7,1,1,1,1.4,1.75,1,1.25]" "1"
262.67 11.623 782699 "Exp.Trial" "ID_53_6" "Der Franzose gewann gegen den Belgier. " 17 "[[142.5,241.5,384,384],[241.5,318.5,384,384],[318.5,384.5,384,384],[384.5,428.5,384,384],[428.5,522,384,384]]" 17 "v2" 6 "[2,3,4,5,6]" "[\"Franzose\",\"gewann\",\"gegen\",\"den\",\"Belgier\"]" "[8,6,5,3,8]" "[2.1303,2.3674,3.9526,5.163,1.4314]" "[0,0,0,0.7412,0.0118]" "[126.9995,141.5967,148.7584,143.4627,122.0799]" "[0.8338,0.9885,0.2879,\"NA\",0.9233]" "[2.6,1.85,1,1,1.9]" NA
275.642 10.296 795671 "Exp.Trial" "ID_54_9" "Jan hat sich zum dritten mal die Schulter ausgekugelt. " 18 "[[142.5,186.5,384,384],[186.5,241.5,384,384],[241.5,285.5,384,384],[285.5,373.5,384,384],[417.5,461.5,384,384],[461.5,560.5,384,384],[560.5,698,384,384]]" 18 "v2" 9 "[2,3,4,5,7,8,9]" "[\"hat\",\"sich\",\"zum\",\"dritten\",\"die\",\"Schulter\",\"ausgekugelt\"]" "[3,4,3,7,3,8,12]" "[5.0598,4.9203,4.5244,2.7419,5.5136,2.7566,1.2304]" "[0.2118,0.0706,0,0.0235,0.0353,0.0235,0.1529]" "[133.7059,134.2902,135.7948,124.4179,133.0667,128.0961,127.284]" "[\"NA\",\"NA\",\"NA\",0.0917,\"NA\",0.3813,0.2737]" "[1,1,1,1.3,1,1.6,2.8]" "1"
412.579 10.445 932608 "Exp.Trial" "ID_55_10" "Der Bischof erschien mit seinem neuen Sekretär auf der Konferenz. " 19 "[[142.5,230.5,384,384],[230.5,329.5,384,384],[329.5,373.5,384,384],[373.5,450.5,384,384],[450.5,516.5,384,384],[516.5,615.5,384,384],[615.5,659.5,384,384],[659.5,703.5,384,384],[703.5,819,384,384]]" 19 "v2" 10 "[2,3,4,5,6,7,8,9,10]" "[\"Bischof\",\"erschien\",\"mit\",\"seinem\",\"neuen\",\"Sekretär\",\"auf\",\"der\",\"Konferenz\"]" "[7,8,3,6,5,8,3,3,10]" "[2.2279,2.3784,5.1841,3.7476,3.6082,1.9031,5.1189,5.3728,2.301]" "[0,0,0.0588,0.2588,0.0353,0.0235,0.1294,0.5529,0.0824]" "[134.786,125.3809,129.0889,132.415,130.469,132.8353,140.6131,134.7281,121.8424]" "[0.9597,0.2928,\"NA\",0.2119,0.5339,1,\"NA\",\"NA\",0.7751]" "[2.6,1.6,1,1.05,1.4,2.45,1,1,2.65]" "1"
433.013 7.475 953042 "Exp.Trial" "ID_56_7" "Das Schicksal führte die Freunde wieder zusammen. " 20 "[[142.5,252.5,384,384],[252.5,329.5,384,384],[329.5,373.5,384,384],[373.5,461.5,384,384],[461.5,538.5,384,384],[538.5,643,384,384]]" 20 "v2" 7 "[2,3,4,5,6,7]" "[\"Schicksal\",\"führte\",\"die\",\"Freunde\",\"wieder\",\"zusammen\"]" "[9,6,3,7,6,9]" "[3.2851,2.7364,5.5136,3.8472,4.6018,4.0477]" "[0,0,0.1494,0.0115,0.2069,0.9195]" "[130.6545,130.1915,133.0667,133.5367,130.6824,126.2458]" "[0.4615,0.2646,\"NA\",0.0954,0.2039,0.4563]" "[1.85,1.4,1,1.4,1.1,1.85]" "1"
454.806 13.053 974835 "Exp.Trial" "ID_57_6" "Vor Gericht wurde die Situation nachgestellt. " 21 "[[142.5,230.5,384,384],[230.5,296.5,384,384],[296.5,340.5,384,384],[340.5,450.5,384,384],[450.5,599,384,384]]" 21 "v2" 6 "[2,3,4,5,6]" "[\"Gericht\",\"wurde\",\"die\",\"Situation\",\"nachgestellt\"]" "[7,5,3,9,13]" "[3.0554,4.3525,5.5136,3.2248,1.2553]" "[0,0.0116,0.0814,0,0]" "[128.0745,134.7278,133.0667,124.3952,121.9056]" "[0.0577,0.3663,\"NA\",0.7373,0.1827]" "[1.4,1,1,2.3,2.95]" NA
469.202 7.826 989231 "Exp.Trial" "ID_58_6" "Das Wetter im September spielte verrückt. " 22 "[[142.5,219.5,384,384],[219.5,252.5,384,384],[252.5,362.5,384,384],[362.5,450.5,384,384],[450.5,555,384,384]]" 22 "v2" 6 "[2,3,4,5,6]" "[\"Wetter\",\"im\",\"September\",\"spielte\",\"verrückt\"]" "[6,2,9,7,9]" "[2.791,4.7586,2.5717,2.8338,3.7989]" "[0.0588,0,0,0,0.3647]" "[128.6451,135.8078,143.1346,127.0067,112.7804]" "[0.2039,\"NA\",0.9948,0.0962,0.0668]" "[1,1,3.35,1.65,1.15]" "1"
489.666 15.77 1009695 "Exp.Trial" "ID_59_8" "Die diesjährige Konferenz der Wissenschaftler dauerte vier Tage. " 23 "[[142.5,274.5,384,384],[274.5,384.5,384,384],[384.5,428.5,384,384],[428.5,604.5,384,384],[604.5,692.5,384,384],[692.5,747.5,384,384],[747.5,808,384,384]]" 23 "v2" 8 "[2,3,4,5,6,7,8]" "[\"diesjährige\",\"Konferenz\",\"der\",\"Wissenschaftl\",\"dauerte\",\"vier\",\"Tage\"]" "[11,9,3,15,7,4,5]" "[1.5798,2.301,5.3728,2.692,2.3979,3.5702,3.6762]" "[0.0119,0.0238,0.0833,0.0357,0,0.0119,0.6667]" "[133.2695,135.3804,134.7281,\"NA\",129.3546,111.6559,125.9922]" "[0.1369,0.7751,\"NA\",\"NA\",0.1108,\"NA\",0.5923]" "[2.5,2.65,1,2.4,1.65,1,1]" "1"
512.867 12.981 1032896 "Exp.Trial" "ID_60_8" "Der Hirte wanderte mehrere Kilometer durch die Wüste. " 24 "[[142.5,208.5,384,384],[208.5,307.5,384,384],[307.5,395.5,384,384],[395.5,505.5,384,384],[505.5,571.5,384,384],[571.5,615.5,384,384],[615.5,687,384,384]]" 24 "v2" 8 "[2,3,4,5,6,7,8]" "[\"Hirte\",\"wanderte\",\"mehrere\",\"Kilometer\",\"durch\",\"die\",\"Wüste\"]" "[5,8,7,9,5,3,6]" "[1.8865,1.8062,2.8222,2.6618,4.1794,5.5136,2.8338]" "[0,0.0118,0,0.2353,0.2,0.6353,0.0353]" "[127.9961,132.7765,133.135,129.4749,133.3584,133.0667,120.734]" "[0.6327,0.1164,0.6809,0.7621,0.7319,\"NA\",0.5201]" "[1.45,1.7,1.65,2.5,1.3,1,1.3]" NA
527.183 7.709 1047212 "Exp.Trial" "ID_61_7" "Yvonne trat unglücklicherweise auf eine Tube Klebstoff. " 25 "[[175.5,230.5,384,384],[230.5,439.5,384,384],[439.5,483.5,384,384],[483.5,538.5,384,384],[538.5,593.5,384,384],[593.5,709,384,384]]" 25 "v2" 7 "[2,3,4,5,6,7]" "[\"trat\",\"unglücklicher\",\"auf\",\"eine\",\"Tube\",\"Klebstoff\"]" "[4,18,3,4,4,10]" "[2.3263,1.7993,5.1189,5.0745,1.5441,1.6721]" "[0,0,0.1647,0.2588,0,0.0471]" "[117.4225,\"NA\",140.6131,124.5343,142.8353,124.0675]" "[\"NA\",\"NA\",\"NA\",\"NA\",\"NA\",0.9419]" "[1,4.3,1,1,1,3.4]" NA
536.221 10.953 1056250 "Exp.Trial" "ID_62_5" "Manuela reagiert auf Senf allergisch. " 26 "[[186.5,285.5,384,384],[285.5,329.5,384,384],[329.5,384.5,384,384],[384.5,511,384,384]]" 26 "v2" 5 "[2,3,4,5]" "[\"reagiert\",\"auf\",\"Senf\",\"allergisch\"]" "[8,3,4,11]" "[2.6902,5.1189,2.0934,2.2068]" "[0,0.3012,0,0.6265]" "[124.9828,140.6131,140.7608,118.0039]" "[0.1879,\"NA\",\"NA\",0.4636]" "[1.65,1,1.6,3]" NA
